Iteration,Sensor,Latency_ms
2,do,11263.42
2,hum,11263.42
2,ph,11263.42
2,tds,11263.42
2,temp,11263.42
3,do,6297.99
3,hum,6297.99
3,ph,6297.99
3,tds,6297.99
3,temp,6297.99
4,do,6189.91
4,hum,6189.91
4,ph,6189.91
4,tds,6189.91
4,temp,6189.91
5,do,2679.48
5,hum,2679.48
5,ph,2679.48
5,tds,2679.48
5,temp,2679.48
6,do,2544.29
6,hum,2544.29
6,ph,2544.29
6,tds,2544.29
6,temp,2544.29
7,do,2733.52
7,hum,2733.52
7,ph,2733.52
7,tds,2733.52
7,temp,2733.52
8,do,3548.00
8,hum,3548.00
8,ph,3548.00
8,tds,3548.00
8,temp,3548.00
9,do,4792.70
9,hum,4792.70
9,ph,4792.70
9,tds,4792.70
9,temp,4792.70
10,do,3191.91
10,hum,3191.91
10,ph,3191.91
10,tds,3191.91
10,temp,3191.91
11,do,3257.98
11,hum,3257.98
11,ph,3257.98
11,tds,3257.98
11,temp,3257.98
12,do,4186.68
12,hum,4186.68
12,ph,4186.68
12,tds,4186.68
12,temp,4186.68
13,do,5521.00
13,hum,5521.00
13,ph,5521.00
13,tds,5521.00
13,temp,5521.00
15,do,10921.09
15,hum,10921.09
15,ph,10921.09
15,tds,10921.09
15,temp,10921.09
16,do,4237.87
16,hum,4237.87
16,ph,4237.87
16,tds,4237.87
16,temp,4237.87
17,do,2210.51
17,hum,2210.51
17,ph,2210.51
17,tds,2210.51
17,temp,2210.51
18,do,2111.65
18,hum,2111.65
18,ph,2111.65
18,tds,2111.65
18,temp,2111.65
19,do,3420.70
19,hum,3420.70
19,ph,3420.70
19,tds,3420.70
19,temp,3420.70
20,do,4341.69
20,hum,4341.69
20,ph,4341.69
20,tds,4341.69
20,temp,4341.69
21,do,3419.61
21,hum,3419.61
21,ph,3419.61
21,tds,3419.61
21,temp,3419.61
22,do,3409.61
22,hum,3409.61
22,ph,3409.61
22,tds,3409.61
22,temp,3409.61
23,do,2049.56
23,hum,2049.56
23,ph,2049.56
23,tds,2049.56
23,temp,2049.56
25,do,17525.10
25,hum,17525.10
25,ph,17525.10
25,tds,17525.10
25,temp,17525.10
26,do,10797.40
26,hum,10797.40
26,ph,10797.40
26,tds,10797.40
26,temp,10797.40
27,do,2494.16
27,hum,2494.16
27,ph,2494.16
27,tds,2494.16
27,temp,2494.16
28,do,2468.53
28,hum,2468.53
28,ph,2468.53
28,tds,2468.53
28,temp,2468.53
29,do,2438.29
29,hum,2438.29
29,ph,2438.29
29,tds,2438.29
29,temp,2438.29
30,do,2838.31
30,hum,2838.31
30,ph,2838.31
30,tds,2838.31
30,temp,2838.31
